ticker,recommendationMean,beta,trailingEps,forwardEps,forwardPE,bookValue,priceToBook,ebitdaMargins,profitMargins,revenueGrowth,payoutRatio,debtToEquity,returnOnAssets,returnOnEquity,quickRatio,currentRatio,zacks_rank
A,0.1610906541735161,-0.347736813602725,0.5534297572246246,0.41320709806201444,-0.12662847082963952,-0.12569987281425185,-0.003430822376436744,0.8533543855770412,0.7654373790936554,-0.1245009798925608,2.018400470257506,-0.40460693614661575,0.8937786422582688,0.38874246953544667,-0.5393349304517289,-0.37161158144708273,3.0
AAIC,0.9890939683907081,-0.5937070853112912,-0.7799791570963049,-1.3638152179603784,2.4647016130358606,-0.725240322091663,-0.24491321066375182,0.0,-0.9796425205170524,-1.0310019363667078,-1.5976290285790045,-0.6542430708744696,-0.9156900540613081,-1.3831686287680518,-0.7458174631959158,-0.7553156941698309,3.0
AAOI,0.14821439746327683,1.2180484642692484,-0.9385199843804123,-0.515000666213498,0.47507389779335474,-0.46987736669965363,-0.21668266713449372,-0.4216595610526168,-0.5238697015836477,-0.435235924581867,-0.4471119209893843,-0.1935752631730017,-0.8256468132281667,-0.5749656781093332,-0.9756760283302948,-1.0676564856463566,3.0
AAON,-0.17007396128259414,-1.5715970734299203,-0.43815750081605376,-0.05261815135427902,1.3521822839021465,-0.4963623135035678,0.9849800013475467,0.32923435812264573,0.7370967977795886,2.3184032372583725,0.2304880944782654,-1.373627844854807,0.8053760030109915,0.4073525015615303,-0.29725594954523665,0.830709185518687,2.0
AAP,1.139705392085599,-0.307692649344261,0.1573122481771532,0.08342596163394309,0.1502221646151038,1.3760886842565287,-0.6860653508616176,0.11539786708746622,0.24097306128080775,0.12743981058043102,2.5351811771645765,0.01048518495330669,-0.2869192241399111,-0.09803052759474593,-0.7845486286921726,-0.5175706341280465,5.0
AAPL,-0.3224614808452959,-0.4353833409139669,1.480758933611865,1.5922544824071034,0.6468684082787206,-0.5093809606282463,2.4649772463010637,0.5873591178770801,0.5898377194225058,-0.07437521128524388,2.3460352574721672,1.5519426116370225,1.9127808989677135,2.3661442034700353,-0.42621594431389714,-0.5631849793666965,3.0
AAT,1.6579026824116745,0.5144344839233828,-0.4974593229599567,-0.4836803638371467,0.14884097335668534,-0.15417169589973376,-0.11541622427162536,-0.5182679012460449,-0.9764565027820903,-1.0507497313179748,1.3781016206673589,0.7125490381355801,-0.32086584164595044,-0.7746286365998173,-0.5685664666718228,-0.5957696813503605,3.0
ABC,0.18898223650461377,-0.9051968846403949,1.4399511539297714,1.4698534751092438,0.5224196303871825,-0.26342723924285477,1.4992357183671852,0.02800955875216135,0.1623391151245993,-0.23082755928198556,0.22371907489564963,1.4868482711969846,0.01063745625975014,1.4777671484229329,-0.7900667680105954,-0.831335858535779,3.0
ABCL,-0.4777580362562122,-0.3306904269350328,0.24851134718145557,0.10005952116733799,0.04991379796736938,-0.15419483264784029,-0.24144094364328766,-0.2035329858529787,-0.14246297323934176,-0.17806330394084008,-0.10339245409559018,-0.20951055800682875,0.8043497202012445,0.5282422465695947,0.12181156922506332,0.19167096585311783,2.0
ABG,0.4604092555161304,-0.8318719915522981,1.6939365221425227,1.4795105686712575,-0.06135365031378374,1.4651956097660919,-0.4382929297645938,0.1925333775114267,0.5244508297132132,0.01575006092778273,-0.2744702981081761,-0.41233670032347447,1.0104954228269347,0.7772821678697978,-0.32266806738448744,-0.1612375474569872,3.0
ABM,0.18711176951431432,-0.2291005626668815,0.38995875358387316,0.19273512000722748,0.03187302221346156,0.20885767000413108,-0.367648859509089,-0.500580754585123,0.04830194827554434,-0.3537525229726813,0.32667426880714706,-0.22687299429151972,-0.0790837265966602,0.16890993305697571,-0.1009236308818317,-0.24187751065358326,4.0
ABNB,0.49015735972046337,-0.6403908271290234,1.3598766064218906,0.07510384212342976,2.017949897111544,-0.34950462574547814,-0.2896230708891402,1.3859514247136988,1.4710651095536567,-1.020236853020751,0.0,-0.3612842142095169,1.89180518580864,0.9682938242397099,0.22265187156260965,1.120047733365417,2.0
